Name	FileName	Cy5	Cy3
0258_noH202	252681910034_S02_ChIP-v1_95_May07_1_1.txt	0258_noH202	control
0258_noH202_swap	252681910034_S02_ChIP-v1_95_May07_1_2.txt	control	0258_noH202_swap
0258_+H202_10min	252681910035_S01_ChIP-v1_95_May07_1_1.txt	0258_+H202_10min	control
0258_+H202_10min_swap	252681910035_S01_ChIP-v1_95_May07_1_2.txt	control	0258_+H202_10min_swap
0258_+H202_20min	252681910036_S01_ChIP-v1_95_May07_1_1.txt	0258_+H202_20min	control
0258_+H202_20min_swap	252681910036_S01_ChIP-v1_95_May07_1_2.txt	control	0258_+H202_20min_swap
0258_+H202_60min	252681910037_S01_ChIP-v1_95_May07_1_1.txt	0258_+H202_60min	control
0258_+H202_60min_swap	252681910037_S01_ChIP-v1_95_May07_1_2.txt	control	0258_+H202_60min_swap
0258_22	US22502698_252681910022_S01_ChIP-v1_95_May07_1_2.txt	0258_22	control
0258_22_swap	US22502698_252681910022_S01_ChIP-v1_95_May07_1_1.txt	control	0258_22_swap
0258_32	US22502698_252681910032_S01_ChIP-v1_95_May07_1_1.txt	0258_32	control
0258_32_swap	US22502698_252681910032_S01_ChIP-v1_95_May07_1_2.txt	control	0258_32_swap
0258_33	US22502698_252681910033_S01_ChIP-v1_95_May07_1_1.txt	0258_33	control
0258_33_swap	US22502698_252681910033_S01_ChIP-v1_95_May07_1_2.txt	control	0258_33_swap
0258_11	US22502698_252681910011_S01_ChIP-v1_95_May07_1_2.txt	0258_11	control
0258_11_swap	US22502698_252681910011_S01_ChIP-v1_95_May07_1_1.txt	control	0258_11_swap
0258_21	US22502698_252681910021_S01_ChIP-v1_95_May07_1_1.txt	control	0258_21
0258_21_swap	US22502698_252681910021_S01_ChIP-v1_95_May07_1_2.txt	0258_21_swap	control
0258_13	US22502698_252681910013_S01_ChIP-v1_95_May07_1_2.txt	0258_13	control
0258_13_swap	US22502698_252681910013_S01_ChIP-v1_95_May07_1_1.txt	control	0258_13_swap
