species,overlap.region,COG_category,p.val,expected,count
hbt,hbt,C,0.8938,8.899,5
hbt,hbt,D,0.08412,1.695,3
hbt,hbt,E,0.9992,10.88,2
hbt,hbt,F,0.6741,4.52,3
hbt,hbt,G,0.8865,3.602,1
hbt,hbt,H,0.9973,7.699,1
hbt,hbt,I,0.8091,4.238,2
hbt,hbt,J,1.942e-7,10.59,28
hbt,hbt,K,0.09669,12.22,16
hbt,hbt,L,0.1364,11.09,14
hbt,hbt,M,0.07771,4.52,7
hbt,hbt,N,0.1013,3.249,5
hbt,hbt,O,0.9416,5.862,2
hbt,hbt,P,0.8894,8.829,5
hbt,hbt,S,0.3634,48.59,50
hbt,hbt,T,0.1348,4.308,6
hbt,hbt,U,0.2597,0.9888,1
hbt,hbt,V,0.005685,2.825,7
hbt,hbt&hmed,K,4.586e-4,0.464,3
hbt,hbt&hmed,M,0.01122,0.1717,1
hbt,hbt&hmed,O,0.01852,0.2226,1
hbt,hbt&hmed,S,0.5963,1.845,1
hmed,hbt&hmed,K,0.004452,0.399,2
hmed,hbt&hmed,M,0.007237,0.139,1
hmed,hbt&hmed,O,0.01266,0.1853,1
hmed,hbt&hmed,S,0.5271,1.636,1
hbt,hbt&hvol,C,0.1844,0.7886,1
hbt,hbt&hvol,E,0.2502,0.9638,1
hbt,hbt&hvol,K,0.08792,1.083,2
hbt,hbt&hvol,L,2.037e-4,0.9826,5
hbt,hbt&hvol,N,0.03218,0.2879,1
hbt,hbt&hvol,Q,1.469e-4,0.2941,3
hbt,hbt&hvol,S,0.9584,4.306,1
hvol,hbt&hvol,C,0.09134,0.5196,1
hvol,hbt&hvol,E,0.2163,0.8771,1
hvol,hbt&hvol,K,0.02459,0.6713,2
hvol,hbt&hvol,L,0.0161,0.5736,2
hvol,hbt&hvol,N,0.005498,0.1157,1
hvol,hbt&hvol,Q,0.009327,0.1518,1
hvol,hbt&hvol,S,0.8421,2.907,1
hbt,hbt&hvol&hmed,E,0,0.2065,3
hmed,hbt&hvol&hmed,E,0,0.2439,3
hvol,hbt&hvol&hmed,E,0,0.2924,3
hmed,hmed,D,0.05262,0.3727,1
hmed,hmed,E,0.4675,3.496,3
hmed,hmed,G,0.5356,1.773,1
hmed,hmed,H,0.5316,1.761,1
hmed,hmed,K,0.1235,3.431,5
hmed,hmed,M,0.337,1.195,1
hmed,hmed,N,0.01707,0.5526,2
hmed,hmed,P,0.4102,2.313,2
hmed,hmed,Q,9.834e-8,0.861,8
hmed,hmed,S,0.4373,14.07,14
hmed,hmed,T,0.02274,1.645,4
hmed,hmed,V,0.1842,0.7839,1
hvol,hvol,G,0.04707,2.001,4
hvol,hvol,H,0.4454,1.498,1
hvol,hvol,I,0.2408,0.9374,1
hvol,hvol,J,0.2788,1.841,2
hvol,hvol,K,0.3487,2.984,3
hvol,hvol,L,0.1076,2.549,4
hvol,hvol,M,8.184e-4,1.143,5
hvol,hvol,P,0.6026,2.001,1
hvol,hvol,Q,0.1453,0.6745,1
hvol,hvol,S,0.2907,12.92,14
hvol,hvol,T,0.1617,1.395,2
hvol,hvol,U,0.01737,0.2058,1
hvol,hvol,V,0.1375,0.6516,1
hmed,hvol&hmed,P,0.00833,0.1614,1
hmed,hvol&hmed,S,0.03498,0.9818,2
hvol,hvol&hmed,P,0.007217,0.15,1
hvol,hvol&hmed,S,0.03362,0.9688,2
