number	operon	min.cor	min.tiling.score	broken.manually	broken.auto	broken.auto.score
1	VNG0001H VNG0002G VNG0003C	0.45	-99.38	FALSE	TRUE	1.00
2	VNG0006G VNG0008G VNG0009G	0.21	-145.98	FALSE	TRUE	1.00
3	VNG0037H VNG0038H	0.64	-101.61	TRUE	TRUE	1.00
7	VNG0106G VNG0107G VNG0108G VNG0110C	0.01	-150.54	FALSE	TRUE	1.00
8	VNG0133G VNG0134G VNG0136G	0.42	-100.71	FALSE	TRUE	1.00
10	VNG0192G VNG0194H	0.85	-85.49	FALSE	TRUE	0.95
13	VNG0233H VNG0234C	0.86	-84.63	FALSE	TRUE	0.95
20	VNG0272H VNG0274C	0.11	-99.15	TRUE	TRUE	1.00
23	VNG0300C VNG0301C	0.44	-170.85	TRUE	TRUE	1.00
24	VNG0305G VNG0307G VNG0308G VNG0309C	0.35	-114.72	FALSE	TRUE	1.00
25	VNG0320H VNG0321G VNG0322H	0.41	-110.80	TRUE	TRUE	1.00
26	VNG0340C VNG0342G VNG0343H	0.29	-114.23	TRUE	TRUE	1.00
27	VNG0361C VNG0363G	-0.07	-106.61	FALSE	TRUE	1.00
29	VNG0376G VNG0378C	-0.24	-127.48	TRUE	TRUE	1.00
30	VNG0384G VNG0386G VNG0387G	0.55	-104.65	FALSE	TRUE	1.00
34	VNG0446G VNG0448G	0.42	-99.99	FALSE	TRUE	1.00
35	VNG0451G VNG0452G VNG0453G VNG0455G VNG0457G	0.74	-83.83	TRUE	TRUE	0.93
37	VNG0486G VNG0487H	-0.12	-18.84	FALSE	TRUE	0.85
38	VNG0489G VNG0491G	0.42	-125.09	TRUE	TRUE	1.00
42	VNG0537C VNG0539C VNG0540G	0.23	-133.80	TRUE	TRUE	1.00
43	VNG0546C VNG0548C VNG0549G VNG0550G VNG0551G	0.78	-101.00	FALSE	TRUE	1.00
45	VNG0563G VNG0565C VNG0564H VNG0566C VNG0570H VNG0568C	0.10	-86.80	TRUE	TRUE	1.00
46	VNG0579H VNG0581H	0.36	-99.50	TRUE	TRUE	1.00
47	VNG0582C VNG0583G VNG0584H VNG0585H VNG0586C	0.47	-110.57	TRUE	TRUE	1.00
50	VNG0629G VNG0630G	-0.04	-20.02	FALSE	TRUE	0.64
52	VNG0635G VNG0636G VNG0637G VNG0639G VNG0640G	0.65	-102.72	FALSE	TRUE	1.00
53	VNG0642C VNG0643G VNG0646G VNG0647G VNG0648G	0.42	-101.84	FALSE	TRUE	1.00
54	VNG0650C VNG0651G	0.09	-99.01	FALSE	TRUE	1.00
55	VNG0666G VNG0667G	0.55	-106.55	FALSE	TRUE	1.00
59	VNG0683C VNG0684G VNG0686C	-0.11	-130.12	TRUE	TRUE	1.00
61	VNG0700G VNG0702H	-0.36	-148.88	TRUE	TRUE	1.00
64	VNG0757G VNG0758C VNG0759H VNG0761G	-0.13	-118.49	TRUE	TRUE	1.00
65	VNG0768H VNG0769H	0.46	-103.75	TRUE	TRUE	1.00
72	VNG0824G VNG0825C	0.68	-159.22	TRUE	TRUE	1.00
73	VNG0828H VNG0829G VNG0830G VNG0831G VNG0832C	0.81	-83.40	TRUE	TRUE	0.93
74	VNG0847H VNG0849C	0.01	-180.96	TRUE	TRUE	1.00
75	VNG0854C VNG0857C	0.61	-118.87	TRUE	TRUE	1.00
76	VNG0865C VNG0867G	0.78	-131.02	TRUE	TRUE	1.00
77	VNG0870G VNG0872G	-0.28	-29.69	FALSE	TRUE	0.99
