gene,-40_ura3_A,-40_ura3_B,-20_ura3_A,-20_ura3_B,0_ura3_A,0_ura3_B,10_ura3_A,10_ura3_B,20_ura3_A,20_ura3_B,20_ura3_B.1,40_ura3_A,40_ura3_B,60_ura3_A,60_ura3_B,80_ura3_A,80_ura3_B,-40_0258_A,-40_0258_B,-20_0258_A,-20_0258_B,0_0258_A,0_0258_B,10_0258_A,10_0258_B,20_0258_A,40_0258_A,40_0258_B,60_0258_A,60_0258_B,80_0258_A,80_0258_B
VNG0001H,-0.267274718,-0.067146424,-0.04185898,-0.037640218,-0.008129025,-0.114219441,-0.016205576,0.025666433,-0.07329223,0.106058976,0.02101023,0.043961816,0.155310016,-0.024883588,0.063335885,0.126401796,-0.053230338,0.075728074,0.027324903,-0.062041541,-0.164293503,-0.2058968,-0.131313677,-0.063479498,-0.036588265,0.063140004,-0.027253383,0.049612896,0.102422156,0.214165634,0.099621484,0.214315425
VNG0002G,-0.09695972,-0.017357752,-0.111595063,0.017282991,0.025672725,-0.07782957,-0.074139878,-0.09141038,-0.038571779,0.041582775,0.038268606,0.034787846,0.079747616,-0.001616894,-0.038286471,0.078974967,0.096098408,0.101771133,-0.118112878,-0.027813227,-0.134004398,-0.177392379,-0.122018421,-0.166063163,-0.048500886,0.035076971,-0.071128471,-0.024220808,0.100426114,0.167320567,0.059945887,0.173703309
VNG0003C,0.054197423,0.022076148,-0.014814087,-0.036774259,-0.020472194,0.009322977,-0.010390942,-0.123736232,-0.022472293,0.014697218,0.085945502,0.005410685,-0.017975745,-0.023559197,-0.031027914,0.019197825,0.097255451,0.077043219,-0.02354493,0.057418538,-0.061657238,-0.053250564,-0.022600984,-0.152486303,-0.113308854,-0.017666972,-0.017966745,0.137931945,0.076362776,-0.037551194,-0.034152325,0.105852696
VNG0005H,-0.12214816,-0.048703572,-0.026411,-0.09457727,-0.021227525,0.01745196,0.459421956,0.476002122,0.409568477,0.387294018,0.286523081,0.068311067,0.038715551,-0.011505953,0.007433325,-0.059208829,0.025677522,-0.042562178,0.087879756,-0.028160949,0.067666439,0.071871971,0.130581793,0.739651879,0.513812303,0.493401354,0.382540283,0.607055343,0.382835387,0.228915497,0.538113537,0.444065335
VNG0006G,-0.11640275,-0.034827644,-0.07598363,-0.263955529,0.068112939,0.139101972,0.498738908,0.521677628,0.61148439,0.100968492,0.158006195,-0.639514778,-0.522868496,-0.803583047,-0.571633015,-0.990557791,-0.738789755,-0.329917099,-0.107391325,-0.165440332,0.180752493,0.550804429,0.186459878,0.964461459,0.729251918,0.496830554,0.457120949,0.318590357,0.128595347,-0.222680844,0.068288915,-0.125833276
VNG0008G,-0.108733741,-0.043675156,0.001425885,0.052608079,0.066105941,-0.091767339,-0.050302844,-0.082127076,-0.118982045,-0.019400839,-0.05720228,0.093223134,0.074967627,-0.021235966,-0.045154651,0.07011247,-0.052656844,0.056292786,0.048623721,0.037384979,-0.096800888,-0.137893335,-0.103100044,-0.097521254,-0.107617206,0.043386806,0.007166233,0.115973025,0.062515375,0.105754058,0.107459954,-0.010020527
VNG0009G,-0.422899255,-0.059580129,-0.040210667,0.021231782,0.019144201,-0.093528144,0.002251447,-0.015642188,-0.166150739,0.171203283,0.070902704,0.107315953,0.084174849,-0.026777353,0.144453238,0.155620507,-0.131124602,0.156955394,0.075637588,0.035501334,-0.183429411,-0.241794235,-0.183071221,-0.103213976,-0.272168743,0.119427971,0.012751396,0.08770527,0.128542648,0.287535503,0.216738382,0.264967756
VNG0011C,-0.326656671,-0.158470371,-0.113882599,-0.02317963,-0.083242239,-0.467239101,0.030323575,-0.002376207,-0.140153475,0.228862199,0.373279974,0.599680554,0.685523314,0.320375654,0.439946784,0.373525212,0.322329359,-0.046607476,-0.077223019,-0.135059311,-0.177703936,-0.446056566,-0.288637753,-0.147452884,-0.011710304,0.156967416,-0.003831108,0.07831677,0.282476449,0.691470313,0.137819285,0.143220563
VNG0013C,-0.109753101,-0.072385352,0.00932752,-0.079813972,-0.008024636,0.033689565,0.062111148,-0.055699164,0.012504735,0.079382974,-0.022066145,0.015777685,-0.028849979,0.037107315,-0.025948794,0.098050292,-0.072195542,0.140406404,-0.015589323,0.137670198,-0.092286982,0.008160144,-0.106525765,-0.085357608,-0.259728947,0.043163757,-0.086566207,0.034826539,0.124697915,-0.026385493,0.151308087,0.029352522
VNG0014C,-0.119935891,0.006473758,-0.005839448,0.08209568,-0.031207796,-0.180053086,-0.075771544,-0.073764619,-0.223857585,0.109696368,0.103099108,0.036543902,0.232144051,-0.075881733,0.097935686,0.064221334,0.080154528,-0.0699786,0.04930332,-0.127235777,0.037674621,-0.221590926,-0.073043488,-0.136904768,0.090172994,-0.009044591,-0.029557223,0.007671027,0.042455946,0.256850001,0.170125735,0.136857581
VNG0015H,0.00501822,0.058858843,0.098794769,0.008857131,-0.004820454,-0.058934164,-0.084505576,-0.071904883,-0.072894852,-0.051303684,-0.037641918,-0.064582004,0.071081182,0.0787675,0.12691141,0.036057539,0.131669995,-0.032151803,-0.124377464,-0.020333772,-0.022079756,-0.018703489,-0.135332097,-0.127600849,-0.04484921,-0.125088257,-0.117114357,-0.154398977,-0.031115773,0.015729747,-0.060914151,0.010788202
VNG0016H,0.008134169,-0.040243609,-0.08772512,-0.001384572,-0.064330828,-0.008014434,-0.04421809,0.001995356,-0.06086479,0.05767681,0.059807254,-0.056510055,0.012482563,-0.083179774,-0.060410926,0.061405404,0.059741987,-0.009642669,-0.085194432,-0.043966433,0.067780164,-0.088999993,-0.064594939,-0.138164279,0.010225869,-0.063933416,-0.092912178,-0.011051542,0.023850146,-0.006939529,-0.02393899,0.051624344
VNG0017H,0.073767875,-0.052083903,-0.051327788,0.00654697,-0.049564932,-0.006721071,-0.03013454,-0.07558825,-0.019625422,0.028643149,-0.013310334,-0.006576383,-0.004797104,-0.064709214,0.019098774,0.052389774,0.094648443,0.013522986,-0.009717802,0.022876188,-0.094339926,-0.083383854,-0.097674811,-0.165826139,-0.083014698,-0.061404485,-0.045357917,-0.016820908,0.045893608,-0.00750086,0.078263902,0.036362504
VNG0018H,-0.117019077,-0.071429186,0.007290538,0.057021082,-0.005473582,-0.067817074,-0.05209286,-0.140847444,-0.122709756,0.03366943,0.00795535,-0.043022694,0.070986762,-0.023328763,-0.037717348,0.019608612,-0.061302477,0.06500555,0.005573348,0.024002581,-0.099778231,-0.131886304,-0.071815482,-0.154079008,-0.030710272,-0.025120118,-0.059573472,0.011337105,0.027639035,0.107653731,0.047632948,0.146001079
VNG0019H,0.004996386,-0.028027948,-0.019925783,0.056914207,-0.010428084,-0.076598604,-0.08154664,-0.099142321,-0.146392457,0.026476475,0.049689013,7.23E-05,0.133050296,-0.01198852,-0.006241284,0.002231892,0.093541322,-0.010729924,-0.008159269,-0.025714254,0.035756216,-0.125868026,-0.040880158,-0.074029648,0.018613639,0.02252422,-0.04222401,0.002022648,0.027539648,0.114248825,0.024400956,0.034877805
VNG0020H,0.295942142,0.012567421,0.033082375,0.038766647,0.010256637,0.005596873,-0.082514329,-0.108959104,-0.023270085,-0.210667365,-0.039508324,0.097390647,0.040364302,0.100600108,-0.022121081,0.074610401,0.2142416,-0.059897745,-0.033251867,-0.011921226,0.048432068,-0.074459015,0.137061819,-0.10701316,-0.063217387,-0.102849047,-0.070836311,-0.048337588,-0.100969819,-0.055367262,-0.092502907,-0.144943077
VNG0021H,-0.055046063,-0.007051633,-0.074143721,0.00213687,-0.046338141,-0.04959777,-0.0707601,-0.152384105,-0.072017541,-0.027488305,0.010904571,-0.048273301,-0.031706467,-0.023590118,-0.009072998,-0.020938218,0.009767938,0.01987963,-0.098554136,-0.073758959,-0.112744724,-0.160241235,-0.148197883,-0.15137374,-0.088118547,-0.025797806,-0.047372535,-0.021063863,0.07233866,0.128239038,0.051783386,0.029332026
VNG0022H,0.314348282,-0.002374187,0.040438129,-0.046330546,-0.068549486,-0.007763754,-0.042288076,-0.081238968,-0.084168569,-0.086946557,-0.090146653,-0.050445766,-0.170186287,0.027587024,-0.101130257,0.001426521,0.159138806,-0.035670809,-0.035254637,0.04400619,0.062031587,0.009568176,-0.071208233,-0.150106858,-0.145205281,-0.064275585,-0.09263266,-0.142554018,-0.053332586,-0.192023106,-0.141956301,-0.145068069
VNG0023H,0.087174228,0.01714318,0.002224244,0.017546842,-0.013064494,0.028704254,-0.033833332,-0.007039674,-0.063175016,-0.147945231,-0.046005926,0.060838125,-0.061193246,-0.035599511,-0.071282505,-0.021297748,0.036048718,0.037115169,-0.009818912,0.069431024,-0.015554175,-0.035387957,0.020160546,-0.12014673,-0.110680046,-0.082212403,-0.018941764,0.004290656,0.006506251,-0.045608082,-0.087849755,-0.093531088
VNG0024H,0.264060502,-0.047861141,0.049155732,-0.013969976,-0.050261368,-0.01329912,0.001101194,-0.062249878,-0.085844228,-0.052965481,0.038179219,-0.0581008,-0.025515832,-0.018728941,-0.075064586,-0.008326641,0.117125392,-0.02438774,0.032229416,0.045333767,0.107618405,-0.03147235,0.099499313,-0.067387882,-0.027958845,-0.015790867,-0.035329831,-0.026619903,0.049661555,-0.029515832,-0.038155797,-0.101175182
VNG0025H,-0.026618857,-0.001619338,-0.045089672,0.075859932,-0.091676832,-0.013571708,0.012106051,-0.1110362,-0.088748764,0.051263254,-0.026569951,0.017979668,-0.021886583,-0.035188358,0.013664575,0.04580895,0.032463642,0.10609264,0.012109153,0.042404277,-0.104287695,-0.115310736,-0.091497885,-0.216308575,-0.18622722,0.019663066,-0.054229211,-0.00595633,0.10043141,0.049938246,0.013309637,0.076271241
