species,overlap.region,COG_category,locus.tag,query,NOGs,HMM_description,COG.pval.by.region,COG.pval.cummulative
hbt,hbt,C,VNG_RS08870,WP_010903707.1,COG0633@NOG,Ferredoxin,0.8938,0.8985
hbt,hbt,C,VNG_RS03800,WP_010902148.1,COG0221@NOG,pyrophosphate phosphohydrolase,0.8938,0.8985
hbt,hbt,C,VNG_RS08100,WP_010903629.1,COG3794@NOG,Halocyanin,0.8938,0.8985
hbt,hbt,C,VNG_RS11890,WP_012289747.1,COG1620@NOG,l-lactate permease,0.8938,0.8985
hbt,hbt,C,VNG_RS11965,WP_049892719.1,COG1301@NOG,sodium dicarboxylate symporter,0.8938,0.8985
hbt,hbt,D,VNG_RS11855,WP_012289734.1,COG1192@NOG,CobQ/CobB/MinD/ParA nucleotide binding domain,0.08412,0.1234
hbt,hbt,D,VNG_RS11760,WP_012289116.1,COG0206@NOG,Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity),0.08412,0.1234
hbt,hbt,D,VNG_RS11845,WP_012289610.1,COG1192@NOG,Cobyrinic acid ac-diamide synthase,0.08412,0.1234
hbt,hbt,E,VNG_RS07660,WP_010903540.1,COG0174@NOG,glutamine synthetase,0.9992,0.9739
hbt,hbt,E,VNG_RS08950,WP_010903708.1,COG0106@NOG,Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase,0.9992,0.9739
hbt,hbt,F,VNG_RS13335,WP_010902782.1,COG0104@NOG,Plays an important role in the de novo pathway of purine nucleotide biosynthesis,0.6741,0.7751
hbt,hbt,F,VNG_RS11785,WP_012289261.1,COG0516@NOG COG0517@NOG,"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)",0.6741,0.7751
hbt,hbt,F,VNG_RS11850,WP_012289640.1,COG0540@NOG,Aspartate transcarbamylase,0.6741,0.7751
hbt,hbt,G,VNG_RS06555,WP_010903232.1,COG0477@NOG,Major Facilitator Superfamily,0.8865,0.928
hbt,hbt,H,VNG_RS03780,WP_010902091.1,COG0095@NOG,biotin lipoate A B protein ligase,0.9973,0.9991
hbt,hbt,I,VNG_RS04410,WP_010902728.1,COG0558@NOG,CDP-alcohol phosphatidyltransferase,0.8091,0.8768
hbt,hbt,I,VNG_RS13520,WP_010904147.1,COG4670@NOG,CoA transferase having broad substrate specificity for short-chain acyl-CoA thioesters with the activity decreasing when the length of the carboxylic acid chain exceeds four carbons (By similarity),0.8091,0.8768
hbt,hbt,J,VNG_RS06670,WP_010903255.1,COG1841@NOG,50S ribosomal protein L30P,1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06630,WP_010903247.1,COG0094@NOG,"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits",1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06585,WP_010903238.1,COG0185@NOG,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity),1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS11240,WP_010904157.1,COG0018@NOG,Arginyl-tRNA synthetase,1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06610,WP_010903243.1,COG0186@NOG,"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA (By similarity)",1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06595,WP_010903240.1,COG0092@NOG,Binds the lower part of the 30S subunit head (By similarity),1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06575,WP_010903236.1,COG0089@NOG,Binds to 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome (By similarity),1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS05715,WP_010902812.1,COG0099@NOG,"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits",1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS05750,WP_010902816.1,COG1727@NOG,50S ribosomal protein L18e,1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06655,WP_010903252.1,COG2147@NOG,Binds to the 23S rRNA (By similarity),1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06660,WP_010903253.1,COG0256@NOG,"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)",1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06720,WP_010903256.1,COG0200@NOG,Binds to the 23S rRNA (By similarity),1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06645,WP_010903250.1,COG0097@NOG,"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center",1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06625,WP_010903246.1,COG1471@NOG,30S ribosomal protein S4E,1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06165,WP_010902915.1,COG1601@NOG,eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA (By similarity),1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06640,WP_010903249.1,COG0096@NOG,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)",1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06665,WP_010903254.1,COG0098@NOG,With S4 and S12 plays an important role in translational accuracy (By similarity),1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06600,WP_010903241.1,COG0255@NOG,50S ribosomal protein L29P,1.942e-7,3.868e-6
hbt,hbt,J,VNG_RS06580,WP_010903237.1,COG0090@NOG,"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity",1.942e-7,3.868e-6
