chr_element	average_coord
NA	NA
NA	NA
NA	NA
Chr	681990.5
Chr	744420.5
Chr	992520.5
pNRC200	40230.5
Chr	945690.5
pNRC200	52110.5
Chr	1731677.5
Chr	192990.5
Chr	168990.5
Chr	226590.5
Chr	618990.5
pNRC200	203801
pNRC200	57240.5
pNRC200	75270.5
Chr	1250567.5
Chr	1789937.5
Chr	143550.5
Chr	1392107.5
pNRC200	81660.5
Chr	623460.5
Chr	671407
Chr	907950.5
Chr	1597757.5
Chr	1848617.5
Chr	1202327.5
pNRC100	171060.5
Chr	691110.5
Chr	1377407.5
pNRC200	116040.5
unmapped	NA
Chr	1758017.5
Chr	215940.5
Chr	115020.5
Chr	148290.5
Chr	178099
Chr	383940.5
Chr	947430.5
pNRC200	47190.5
Chr	602580.5
Chr	1051277.5
Chr	922020.5
Chr	1107497.5
pNRC200	89910.5
pNRC200	283770.5
Chr	609960.5
pNRC200	187410.5
Chr	39900.5
pNRC200	220560.5
Chr	106800.5
Chr	1038300.5
Chr	1709237.5
Chr	1243577.5
pNRC100	300.5
pNRC100	170220.5
Chr	691380.5
Chr	816480.5
pNRC100	16770.5
Chr	1589777.5
Chr	1437017.5
Chr	1092107.5
Chr	1956797.5
Chr	953370.5
Chr	80829
Chr	1976567.5
Chr	1131857.5
Chr	1784675
pNRC200	233610.5
pNRC100	13470.5
Chr	998220.5
Chr	444480.5
Chr	123870.5
pNRC200	280440.5
Chr	262560.5
Chr	1600307.5
Chr	1415987.5
Chr	1289447.5
Chr	1413227.5
Chr	1787957.5
Chr	179040.5
Chr	1157687.5
Chr	538110.5
pNRC100	80760.5
Chr	1344857.5
Chr	573750.5
pNRC200	218610.5
Chr	383730.5
Chr	1948117
unmapped	NA
Chr	1154567.5
Chr	946887
Chr	1423995
Chr	616020.5
Chr	1098767.5
Chr	820980.5
Chr	564907
pNRC100	72360.5
Chr	1811507.5
Chr	1069667.5
pNRC100	178770.5
Chr	589890.5
Chr	562290.5
Chr	514770.5
pNRC200	17910.5
Chr	636450.5
Chr	888690.5
Chr	237420.5
pNRC100	127689
Chr	474600.5
Chr	1634723
pNRC200	198240.5
Chr	744780.5
Chr	777120.5
unmapped	NA
Chr	275850.5
pNRC100	145260.5
Chr	93325
Chr	1129345
Chr	1093037.5
Chr	735720.5
pNRC100	10397
pNRC200	141450.5
Chr	1821827.5
Chr	769140.5
Chr	1892453
pNRC200	353520.5
Chr	1595147.5
Chr	594960.5
Chr	1257197.5
Chr	1170167.5
Chr	331200.5
pNRC200	227910.5
Chr	1323677.5
pNRC200	17670.5
Chr	1598229
Chr	461130.5
Chr	828900.5
Chr	629801
pNRC200	313710.5
pNRC200	163260.5
Chr	383040.5
Chr	2012327.5
Chr	476583
Chr	1661957.5
Chr	1246547.5
Chr	132480.5
Chr	817020.5
Chr	1715521
unmapped	NA
pNRC100	19110.5
Chr	513810.5
Chr	784980.5
Chr	914790.5
Chr	162570.5
Chr	807690.5
Chr	1995407.5
pNRC200	342393
Chr	1516367.5
Chr	2430.5
Chr	330540.5
Chr	1756247.5
Chr	676260.5
pNRC100	42780.5
Chr	1018455
Chr	535020.5
Chr	122280.5
pNRC200	302130.5
Chr	1313093
pNRC200	89220.5
Chr	1879787.5
pNRC200	181560.5
Chr	620571
Chr	517080.5
Chr	825270.5
Chr	177330.5
pNRC200	278310.5
Chr	1412635
Chr	1921667.5
Chr	1928897.5
Chr	816180.5
Chr	1978367.5
Chr	318540.5
Chr	1695887.5
Chr	1391627.5
Chr	1622653
pNRC200	317100.5
Chr	1081247.5
pNRC200	25560.5
Chr	1873487.5
pNRC200	119453
pNRC200	356610.5
Chr	106230.5
Chr	1565717.5
Chr	458460.5
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
Chr	628320.5
unmapped	NA
Chr	931350.5
Chr	871530.5
Chr	49740.5
Chr	42915
Chr	1928777.5
Chr	920490.5
Chr	567780.5
Chr	651600.5
Chr	827790.5
Chr	1714847.5
Chr	1414967.5
Chr	492913
Chr	1995647.5
Chr	76140.5
unmapped	NA
Chr	1502267.5
Chr	821850.5
pNRC200	118459
Chr	1422617.5
Chr	476250.5
Chr	989550.5
pNRC200	177673
Chr	991290.5
Chr	1502237
NA	NA
Chr	285690.5
Chr	28200.5
Chr	1214387.5
Chr	1275317.5
Chr	1754417.5
pNRC100	50370.5
pNRC200	283470.5
Chr	72330.5
Chr	233160.5
Chr	946980.5
Chr	1925537.5
Chr	576360.5
Chr	748530.5
pNRC200	311430.5
Chr	458910.5
Chr	717000.5
Chr	522330.5
Chr	686190.5
Chr	544175
pNRC200	278070.5
Chr	1569737.5
Chr	1783397
Chr	1659797.5
Chr	41970.5
pNRC200	147120.5
Chr	1290527.5
pNRC200	108810.5
Chr	1603367.5
Chr	476867
Chr	88560.5
Chr	1266375
Chr	1130717.5
pNRC100	41921
Chr	315990.5
Chr	634140.5
Chr	860640.5
Chr	1007640.5
Chr	234840.5
Chr	1482377.5
pNRC200	337050.5
Chr	696240.5
Chr	624840.5
Chr	1836557.5
Chr	1286447.5
Chr	1214807.5
Chr	204060.5
Chr	71883
Chr	9971
pNRC100	35490.5
Chr	1702787.5
Chr	941640.5
Chr	1400417.5
Chr	826045
pNRC100	121050.5
Chr	830880.5
pNRC200	186990.5
Chr	250080.5
Chr	591990.5
Chr	998340.5
Chr	369657
pNRC100	49380.5
pNRC200	33240.5
Chr	163890.5
Chr	261480.5
Chr	1425131
pNRC200	258471
Chr	1698437.5
Chr	536640.5
pNRC100	51630.5
Chr	1410047.5
Chr	443790.5
Chr	876750.5
Chr	604950.5
pNRC100	36090.5
Chr	1997675
Chr	1610717.5
NA	NA
Chr	870960.5
Chr	711630.5
pNRC200	240270.5
Chr	889650.5
Chr	31800.5
Chr	676093
Chr	383880.5
pNRC200	272955
Chr	806970.5
Chr	1006500.5
Chr	1887137.5
pNRC200	198547
Chr	166920.5
Chr	127689
Chr	494460.5
Chr	1024620.5
Chr	1910207.5
Chr	574590.5
Chr	175290.5
pNRC100	29283
Chr	717557
Chr	1061807.5
Chr	137520.5
pNRC200	197490.5
Chr	306540.5
Chr	1268297.5
Chr	241999
Chr	67050.5
Chr	265140.5
Chr	745110.5
Chr	1310687.5
Chr	441030.5
Chr	1110107.5
Chr	34560.5
Chr	1668377.5
Chr	1236677.5
Chr	1264937.5
pNRC100	3270.5
Chr	1012770.5
Chr	772500.5
Chr	1546547.5
Chr	1135427.5
Chr	341130.5
pNRC100	49530.5
Chr	584970.5
pNRC100	79260.5
Chr	985140.5
Chr	1840967.5
pNRC100	189450.5
Chr	811419
Chr	1436537.5
Chr	1611861
Chr	1636997.5
Chr	1756847.5
pNRC100	157410.5
Chr	1669967.5
Chr	279060.5
Chr	792420.5
Chr	740700.5
NA	NA
pNRC200	55260.5
Chr	1445657.5
Chr	1169927.5
Chr	1784837.5
Chr	1064117.5
Chr	398700.5
Chr	1664717.5
Chr	1168787.5
Chr	10920.5
Chr	576180.5
Chr	781031
Chr	1255217.5
Chr	502590.5
