hbt&hvol&hmed,hbt&hmed,hbt&hvol,hvol&hmed,hbt,hvol,hmed
0,7,9,1,144,43,42
0,4,10,2,146,41,44
0,11,5,4,144,44,35
0,6,8,3,146,42,41
1,10,4,2,145,46,37
0,4,8,2,148,43,44
0,4,7,4,149,42,42
0,9,5,3,146,45,38
0,8,15,1,137,37,41
0,5,9,0,146,44,45
0,7,9,3,144,41,40
1,7,8,4,144,40,38
0,9,8,0,143,45,41
1,2,7,1,150,44,46
1,11,7,0,141,45,38
0,8,6,3,146,44,39
0,5,12,1,143,40,44
0,3,5,4,152,44,43
0,5,4,3,151,46,42
0,4,9,0,147,44,46
1,3,6,2,150,44,44
0,10,5,3,145,45,37
1,7,8,2,144,42,40
1,11,7,2,141,43,36
1,2,7,0,150,45,47
0,6,5,1,149,47,43
0,5,7,1,148,45,44
0,4,2,0,154,51,46
0,4,6,2,150,45,44
0,6,5,0,149,48,44
0,6,7,1,147,45,43
0,7,9,1,144,43,42
0,6,5,2,149,46,42
0,7,7,0,146,46,43
0,5,5,0,150,48,45
1,6,2,1,151,49,42
0,8,7,2,145,44,40
0,7,6,3,147,44,40
0,7,9,0,144,44,43
0,3,7,2,150,44,45
0,10,6,3,144,44,37
0,4,8,1,148,44,45
0,5,4,2,151,47,43
0,3,11,1,146,41,46
0,5,9,2,146,42,43
0,9,8,4,143,41,37
0,8,7,0,145,46,42
0,6,4,0,150,49,44
0,6,8,1,146,44,43
1,2,8,3,149,41,44
1,6,4,4,149,44,39
1,1,8,3,150,41,45
1,7,7,2,145,43,40
1,5,4,2,150,46,42
0,5,7,0,148,46,45
0,5,4,3,151,46,42
1,10,6,3,143,43,36
1,6,11,1,142,40,42
0,6,7,5,147,41,39
1,4,5,3,150,44,42
0,5,8,3,147,42,42
0,8,6,1,146,46,41
0,3,12,4,145,37,43
0,4,5,0,151,48,46
3,5,3,1,149,46,41
1,6,3,2,150,47,41
0,7,7,2,146,44,41
0,2,3,1,155,49,47
0,6,8,1,146,44,43
0,3,5,1,152,47,46
0,5,3,1,152,49,44
1,5,8,0,146,44,44
0,2,2,3,156,48,45
0,6,6,1,148,46,43
0,7,3,2,150,48,41
1,8,4,2,147,46,39
0,4,7,3,149,43,43
0,5,6,0,149,47,45
0,6,10,1,144,42,43
0,8,3,2,149,48,40
1,6,9,2,144,41,41
0,3,6,1,151,46,46
0,6,6,4,148,43,40
0,10,5,2,145,46,38
1,7,5,0,147,47,42
0,11,4,4,145,45,35
0,3,4,2,153,47,45
1,9,6,0,144,46,40
0,4,8,2,148,43,44
1,8,9,2,142,41,39
0,6,4,1,150,48,43
0,9,4,4,147,45,37
1,5,7,0,147,45,44
0,6,9,3,145,41,41
0,6,7,1,147,45,43
0,6,6,1,148,46,43
0,4,5,1,151,47,45
1,10,6,0,143,46,39
0,6,7,5,147,41,39
1,7,3,0,149,49,42
0,5,9,0,146,44,45
0,4,7,5,149,41,41
0,3,6,2,151,45,45
0,4,5,0,151,48,46
0,8,5,4,147,44,38
0,12,10,1,138,42,37
0,5,5,3,150,45,42
0,7,8,0,145,45,43
1,7,1,3,151,48,39
2,2,3,1,153,47,45
0,5,4,3,151,46,42
0,8,10,2,142,41,40
0,7,4,3,149,46,40
1,6,8,1,145,43,42
0,1,7,3,152,43,46
1,6,8,0,145,44,43
0,5,11,2,144,40,43
0,4,9,1,147,43,45
0,2,8,1,150,44,47
0,4,13,0,143,40,46
0,7,2,2,151,49,41
0,10,5,1,145,47,39
0,4,6,2,150,45,44
0,6,7,1,147,45,43
0,5,5,1,150,47,44
0,7,5,3,148,45,40
0,10,6,3,144,44,37
0,9,5,1,146,47,40
0,5,7,4,148,42,41
0,4,6,1,150,46,45
0,4,5,1,151,47,45
0,4,6,1,150,46,45
0,6,6,0,148,47,44
0,3,4,1,153,48,46
0,6,11,2,143,40,42
0,5,8,1,147,44,44
0,5,9,1,146,43,44
1,5,4,1,150,47,43
0,4,4,3,152,46,43
0,4,6,2,150,45,44
1,5,5,3,149,44,41
0,3,7,1,150,45,46
3,4,8,1,145,41,42
0,5,7,1,148,45,44
0,4,6,4,150,43,42
0,6,5,2,149,46,42
0,7,10,1,143,42,42
0,5,6,3,149,44,42
1,3,8,1,148,43,45
0,6,5,1,149,47,43
0,6,9,4,145,40,40
0,9,6,0,145,47,41
0,7,8,2,145,43,41
0,8,7,1,145,45,41
0,7,8,4,145,41,39
0,9,7,4,144,42,37
1,6,4,0,149,48,43
1,8,10,0,141,42,41
0,3,5,1,152,47,46
0,8,6,3,146,44,39
0,5,6,3,149,44,42
0,7,3,3,150,47,40
0,5,5,0,150,48,45
0,7,5,1,148,47,42
0,7,6,0,147,47,43
0,9,6,3,145,44,38
1,3,6,3,150,43,43
0,4,5,4,151,44,42
0,7,10,2,143,41,41
1,6,7,1,146,44,42
0,5,8,1,147,44,44
2,8,4,0,146,47,40
0,2,7,0,151,46,48
0,7,7,0,146,46,43
0,3,8,2,149,43,45
0,1,4,2,155,47,47
0,6,8,1,146,44,43
0,5,3,0,152,50,45
0,8,7,2,145,44,40
0,6,5,1,149,47,43
0,8,5,2,147,46,40
0,4,14,0,142,39,46
0,6,10,2,144,41,42
1,4,5,1,150,46,44
0,8,10,3,142,40,39
0,3,9,1,148,43,46
0,8,6,2,146,45,40
1,8,4,2,147,46,39
0,6,3,2,151,48,42
1,5,11,0,143,41,44
2,5,7,3,146,41,40
0,3,6,1,151,46,46
0,5,7,2,148,44,43
0,4,6,2,150,45,44
0,7,1,3,152,49,40
0,1,8,2,151,43,47
0,3,8,0,149,45,47
0,5,8,2,147,43,43
0,8,6,1,146,46,41
0,5,7,3,148,43,42
0,6,11,0,143,42,44
0,6,4,4,150,45,40
0,6,3,1,151,49,43
0,2,8,1,150,44,47
0,8,7,2,145,44,40
0,8,9,4,143,40,38
0,5,9,2,146,42,43
1,1,5,1,153,46,47
0,3,8,3,149,42,44
0,5,4,2,151,47,43
0,3,4,1,153,48,46
0,9,7,2,144,44,39
0,5,3,4,152,46,41
0,5,9,0,146,44,45
0,7,10,1,143,42,42
0,3,6,3,151,44,44
1,5,6,1,148,45,43
0,6,11,2,143,40,42
0,3,3,2,154,48,45
0,5,7,1,148,45,44
0,5,4,2,151,47,43
0,7,4,3,149,46,40
1,7,13,2,139,37,40
0,5,3,2,152,48,43
0,6,8,2,146,43,42
0,6,3,3,151,47,41
0,9,5,1,146,47,40
0,3,6,1,151,46,46
0,5,6,4,149,43,41
0,7,4,1,149,48,42
0,5,10,0,145,43,45
1,10,6,1,143,45,38
1,4,6,3,149,43,42
0,7,3,1,150,49,42
0,6,10,3,144,40,41
0,6,7,1,147,45,43
1,4,3,2,152,47,43
0,1,7,2,152,44,47
0,5,8,2,147,43,43
2,6,5,3,147,43,39
1,9,7,0,143,45,40
0,4,8,0,148,45,46
0,6,6,3,148,44,41
0,7,6,2,147,45,41
1,11,6,1,142,45,37
0,8,6,0,146,47,42
1,8,6,2,145,44,39
1,8,5,2,146,45,39
1,6,4,1,149,47,42
0,6,5,0,149,48,44
0,9,6,2,145,45,39
0,1,2,5,157,46,44
0,6,10,1,144,42,43
0,9,7,3,144,43,38
1,5,3,1,151,48,43
1,9,4,2,146,46,38
0,3,6,2,151,45,45
0,7,5,2,148,46,41
0,3,5,3,152,45,44
0,5,5,3,150,45,42
0,6,5,3,149,45,41
0,3,6,3,151,44,44
0,7,10,1,143,42,42
0,3,6,0,151,47,47
1,10,6,1,143,45,38
