hbt&hvol&hmed,hbt&hmed,hbt&hvol,hvol&hmed,hbt,hvol,hmed
1,4,6,1,149,45,44
1,3,6,1,150,45,45
0,3,5,2,152,46,45
0,5,6,2,149,45,43
2,6,5,2,147,44,40
1,10,5,3,144,44,36
1,6,3,1,150,48,42
0,3,5,2,152,46,45
0,4,5,1,151,47,45
1,4,5,1,150,46,44
1,5,5,0,149,47,44
1,5,6,0,148,46,44
2,4,5,1,149,45,43
2,5,8,0,145,43,43
1,4,5,0,150,47,45
1,4,5,4,150,43,41
1,8,7,5,144,40,36
1,9,6,1,144,45,39
1,6,8,1,145,43,42
0,5,5,2,150,46,43
0,5,2,1,153,50,44
1,8,7,0,144,45,41
2,6,5,1,147,45,41
1,5,6,0,148,46,44
3,7,5,2,145,43,38
1,4,4,3,151,45,42
4,6,6,0,144,43,40
0,8,5,1,147,47,41
3,8,4,4,145,42,35
0,6,6,2,148,45,42
0,6,7,2,147,44,42
1,2,3,2,154,47,45
2,4,6,2,148,43,42
0,7,6,1,147,46,42
0,5,5,2,150,46,43
0,7,6,2,147,45,41
1,5,5,5,149,42,39
0,6,2,2,152,49,42
0,3,5,2,152,46,45
0,6,4,3,150,46,41
0,6,7,0,147,46,44
0,8,3,2,149,48,40
0,4,5,1,151,47,45
0,6,4,3,150,46,41
1,3,7,3,149,42,43
0,8,4,0,148,49,42
2,5,3,3,150,45,40
1,6,0,4,153,48,39
1,10,4,0,145,48,39
0,5,3,1,152,49,44
0,6,7,2,147,44,42
1,9,2,4,148,46,36
0,4,7,0,149,46,46
0,3,9,2,148,42,45
0,4,3,2,153,48,44
1,6,4,0,149,48,43
0,1,9,1,150,43,48
0,6,2,2,152,49,42
0,5,13,1,142,39,44
0,3,5,3,152,45,44
1,5,2,2,152,48,42
1,4,5,1,150,46,44
0,9,8,3,143,42,38
0,3,3,3,154,47,44
1,2,8,1,149,43,46
2,6,6,2,146,43,40
1,4,11,2,144,39,43
0,8,6,2,146,45,40
0,1,6,3,153,44,46
0,3,7,2,150,44,45
1,5,5,1,149,46,43
0,10,3,1,147,49,39
0,4,7,4,149,42,42
0,1,3,2,156,48,47
0,4,4,3,152,46,43
3,2,2,4,153,44,41
0,5,6,2,149,45,43
1,3,1,4,155,47,42
0,6,4,0,150,49,44
1,4,6,2,149,44,43
0,3,8,2,149,43,45
0,6,6,1,148,46,43
1,6,8,1,145,43,42
0,2,5,1,153,47,47
0,5,5,1,150,47,44
0,5,6,3,149,44,42
1,3,7,0,149,45,46
0,6,2,1,152,50,43
1,3,6,4,150,42,42
0,3,4,0,153,49,47
0,6,2,3,152,48,41
0,5,6,0,149,47,45
0,5,7,1,148,45,44
1,3,4,2,152,46,44
1,7,4,5,148,43,37
0,6,13,2,141,38,42
0,6,6,2,148,45,42
1,4,2,2,153,48,43
0,4,7,2,149,44,44
0,7,4,2,149,47,41
0,5,9,1,146,43,44
0,5,5,3,150,45,42
0,4,7,1,149,45,45
1,6,4,0,149,48,43
0,2,7,2,151,44,46
1,5,4,2,150,46,42
2,7,9,0,142,42,41
0,7,7,0,146,46,43
0,9,7,0,144,46,41
0,2,9,1,149,43,47
0,8,7,1,145,45,41
0,2,10,3,148,40,45
1,7,8,2,144,42,40
0,2,3,0,155,50,48
0,5,3,2,152,48,43
1,7,4,1,148,47,41
1,5,10,3,144,39,41
0,2,8,3,150,42,45
1,9,3,1,147,48,39
0,3,7,0,150,46,47
1,3,4,3,152,45,43
0,4,7,1,149,45,45
0,5,2,1,153,50,44
1,5,7,2,147,43,42
0,7,6,2,147,45,41
0,8,4,2,148,47,40
0,5,5,2,150,46,43
2,5,8,0,145,43,43
0,5,6,1,149,46,44
2,2,2,1,154,48,45
1,7,4,2,148,46,40
0,7,10,2,143,41,41
0,0,5,0,155,48,50
1,5,6,2,148,44,42
0,5,9,2,146,42,43
1,8,8,0,143,44,41
2,5,9,2,144,40,41
1,6,3,1,150,48,42
0,7,6,1,147,46,42
2,4,7,0,147,44,44
0,11,3,1,146,49,38
0,7,5,0,148,48,43
1,8,4,1,147,47,40
0,2,9,2,149,42,46
2,3,6,2,149,43,43
3,5,3,0,149,47,42
0,5,7,1,148,45,44
0,4,3,1,153,49,45
2,5,3,1,150,47,42
0,11,5,1,144,47,38
0,6,7,0,147,46,44
1,9,2,2,148,48,38
1,5,5,2,149,45,42
1,7,3,0,149,49,42
1,5,3,5,151,44,39
3,3,3,1,151,46,43
0,3,8,0,149,45,47
1,7,1,0,151,51,42
1,5,6,1,148,45,43
1,3,11,1,145,40,45
2,7,4,0,147,47,41
0,4,3,3,153,47,43
0,6,7,2,147,44,42
0,4,5,2,151,46,44
1,4,8,1,147,43,44
0,5,4,3,151,46,42
0,3,6,1,151,46,46
0,1,6,3,153,44,46
1,3,7,1,149,44,45
3,4,1,4,152,45,39
0,5,4,3,151,46,42
0,3,4,0,153,49,47
1,6,6,1,147,45,42
1,4,3,1,152,48,44
0,6,4,0,150,49,44
0,4,5,2,151,46,44
0,6,9,4,145,40,40
0,3,5,1,152,47,46
1,5,6,0,148,46,44
0,4,6,0,150,47,46
2,6,6,3,146,42,39
4,4,5,3,147,41,39
0,6,4,1,150,48,43
0,9,4,1,147,48,40
1,3,4,2,152,46,44
0,6,6,4,148,43,40
0,5,9,2,146,42,43
0,2,3,3,155,47,45
1,10,4,2,145,46,37
0,6,3,2,151,48,42
2,6,5,1,147,45,41
1,7,5,0,147,47,42
1,5,4,2,150,46,42
1,3,2,5,154,45,41
1,6,4,1,149,47,42
0,4,5,2,151,46,44
0,4,3,3,153,47,43
0,7,5,2,148,46,41
0,6,7,4,147,42,40
0,4,6,2,150,45,44
0,4,8,1,148,44,45
1,5,6,4,148,42,40
0,3,4,2,153,47,45
0,5,4,2,151,47,43
1,3,3,1,153,48,45
2,3,0,1,155,50,44
0,7,12,1,141,40,42
1,4,7,2,148,43,43
0,6,5,3,149,45,41
3,6,7,1,144,42,40
2,4,8,0,146,43,44
2,4,7,0,147,44,44
0,4,1,0,155,52,46
1,2,3,1,154,48,46
1,4,4,1,151,47,44
0,8,4,0,148,49,42
0,9,6,1,145,46,40
2,3,6,1,149,44,44
0,6,5,1,149,47,43
0,5,6,0,149,47,45
0,3,5,6,152,42,41
0,8,6,0,146,47,42
0,4,5,1,151,47,45
2,5,6,0,147,45,43
1,3,4,2,152,46,44
1,6,2,3,151,47,40
1,4,2,2,153,48,43
0,4,6,2,150,45,44
0,4,7,2,149,44,44
1,9,10,4,140,38,36
1,4,2,3,153,47,42
1,4,13,1,142,38,44
0,7,4,1,149,48,42
1,3,11,2,145,39,44
0,3,3,3,154,47,44
0,4,6,3,150,44,43
0,4,6,5,150,42,41
2,10,6,0,142,45,38
0,9,7,1,144,45,40
1,5,5,2,149,45,42
1,9,6,2,144,44,38
0,5,4,2,151,47,43
1,6,3,4,150,45,39
0,1,3,6,156,44,43
0,4,14,2,142,37,44
0,6,6,4,148,43,40
1,3,6,0,150,46,46
1,5,5,4,149,43,40
0,7,10,3,143,40,40
1,7,3,1,149,48,41
1,0,1,4,158,47,45
1,6,2,1,151,49,42
0,3,10,1,147,42,46
0,1,5,2,154,46,47
1,5,4,1,150,47,43
0,2,2,1,156,50,47
1,7,6,2,146,44,40
0,7,2,1,151,50,42
1,3,5,1,151,46,45
0,4,9,1,147,43,45
0,5,2,4,153,47,41
0,9,7,5,144,41,36
1,4,7,2,148,43,43
1,8,3,0,148,49,41
0,5,5,1,150,47,44
1,2,4,2,153,46,45
0,9,4,1,147,48,40
0,5,6,3,149,44,42
0,5,4,0,151,49,45
1,5,6,4,148,42,40
0,6,4,4,150,45,40
0,6,3,2,151,48,42
1,3,8,4,148,40,42
0,5,6,0,149,47,45
0,5,5,0,150,48,45
2,5,8,0,145,43,43
0,7,5,2,148,46,41
1,3,4,3,152,45,43
0,7,2,2,151,49,41
0,8,5,1,147,47,41
0,5,3,3,152,47,42
2,5,9,2,144,40,41
1,8,7,3,144,42,38
1,4,7,2,148,43,43
1,5,9,1,145,42,43
1,5,6,0,148,46,44
