hbt&hvol&hmed,hbt&hmed,hbt&hvol,hvol&hmed,hbt,hvol,hmed
0,1,2,0,157,51,49
0,4,3,1,153,49,45
0,0,2,2,158,49,48
0,5,4,2,151,47,43
0,2,5,1,153,47,47
1,2,6,0,151,46,47
0,2,2,2,156,49,46
0,5,3,1,152,49,44
0,5,2,0,153,51,45
0,6,3,0,151,50,44
0,0,2,1,158,50,49
0,4,1,1,155,51,45
0,5,2,0,153,51,45
0,3,5,1,152,47,46
0,2,7,0,151,46,48
0,5,4,1,151,48,44
0,6,1,1,153,51,43
1,2,0,2,157,50,45
0,3,3,1,154,49,46
0,5,9,0,146,44,45
0,3,8,1,149,44,46
0,2,5,3,153,45,45
0,5,2,0,153,51,45
0,1,6,0,153,47,49
0,2,5,0,153,48,48
0,5,4,0,151,49,45
0,2,3,0,155,50,48
0,7,3,3,150,47,40
0,3,5,0,152,48,47
0,4,6,1,150,46,45
0,3,1,0,156,52,47
0,3,4,2,153,47,45
0,2,3,0,155,50,48
0,1,3,3,156,47,46
0,7,3,1,150,49,42
0,4,3,0,153,50,46
0,1,7,2,152,44,47
0,4,1,1,155,51,45
0,4,3,1,153,49,45
0,7,1,1,152,51,42
0,6,3,1,151,49,43
1,2,1,0,156,51,47
0,2,2,0,156,51,48
0,4,7,0,149,46,46
0,1,5,3,154,45,46
0,3,3,1,154,49,46
0,2,0,3,158,50,45
0,2,1,0,157,52,48
0,5,6,0,149,47,45
1,2,3,0,154,49,47
0,3,2,1,155,50,46
0,0,4,0,156,49,50
0,2,1,2,157,50,46
0,0,4,0,156,49,50
1,1,4,1,154,47,47
0,3,7,0,150,46,47
0,2,5,1,153,47,47
1,0,1,1,158,50,48
0,2,6,0,152,47,48
0,6,5,1,149,47,43
0,2,7,2,151,44,46
0,3,2,2,155,49,45
0,2,4,2,154,47,46
0,1,4,0,155,49,49
0,3,5,1,152,47,46
0,0,5,3,155,45,47
1,5,6,2,148,44,42
0,2,4,1,154,48,47
0,3,2,0,155,51,47
0,2,4,2,154,47,46
0,6,4,0,150,49,44
0,3,5,0,152,48,47
0,3,1,0,156,52,47
0,3,2,2,155,49,45
0,5,3,0,152,50,45
0,1,5,1,154,47,48
0,4,1,0,155,52,46
0,7,1,2,152,50,41
0,2,3,3,155,47,45
0,6,3,2,151,48,42
0,4,2,1,154,50,45
0,7,2,0,151,51,43
0,2,3,3,155,47,45
0,5,0,0,155,53,45
1,4,2,0,153,50,45
0,3,5,0,152,48,47
0,6,1,4,153,48,40
0,1,3,0,156,50,49
0,1,3,1,156,49,48
0,3,2,2,155,49,45
0,1,3,0,156,50,49
0,4,1,2,155,50,44
0,2,2,0,156,51,48
0,4,4,0,152,49,46
0,1,5,2,154,46,47
0,5,4,1,151,48,44
0,4,4,0,152,49,46
0,4,2,2,154,49,44
0,3,2,2,155,49,45
0,7,6,0,147,47,43
0,1,6,1,153,46,48
0,4,4,1,152,48,45
0,4,3,1,153,49,45
0,3,4,1,153,48,46
0,4,5,1,151,47,45
0,2,6,2,152,45,46
0,4,4,0,152,49,46
0,1,3,2,156,48,47
0,4,4,1,152,48,45
0,3,4,1,153,48,46
0,5,3,0,152,50,45
1,5,6,0,148,46,44
0,3,4,0,153,49,47
0,3,1,1,156,51,46
0,3,3,2,154,48,45
0,5,3,0,152,50,45
0,6,3,1,151,49,43
0,5,9,0,146,44,45
0,2,4,2,154,47,46
0,3,2,2,155,49,45
1,2,5,0,152,47,47
0,3,5,2,152,46,45
0,1,7,0,152,46,49
0,4,3,1,153,49,45
0,3,3,1,154,49,46
0,5,3,1,152,49,44
0,3,4,2,153,47,45
0,1,2,0,157,51,49
0,2,3,1,155,49,47
0,5,3,0,152,50,45
0,1,1,1,158,51,48
0,2,2,2,156,49,46
0,5,2,2,153,49,43
0,3,2,1,155,50,46
0,4,7,2,149,44,44
0,3,2,1,155,50,46
0,3,3,0,154,50,47
0,3,5,0,152,48,47
0,2,5,2,153,46,46
1,2,5,2,152,45,45
0,2,8,0,150,45,48
0,5,3,0,152,50,45
0,1,2,1,157,50,48
0,3,5,1,152,47,46
0,4,4,1,152,48,45
0,1,4,2,155,47,47
0,5,2,1,153,50,44
0,1,2,0,157,51,49
0,0,4,3,156,46,47
0,3,7,1,150,45,46
0,0,8,0,152,45,50
0,3,1,2,156,50,45
0,3,4,3,153,46,44
0,2,4,1,154,48,47
0,4,4,0,152,49,46
1,6,2,3,151,47,40
0,2,2,1,156,50,47
0,4,5,0,151,48,46
0,2,1,1,157,51,47
0,2,5,3,153,45,45
0,3,3,2,154,48,45
0,4,2,0,154,51,46
0,4,2,1,154,50,45
0,4,2,2,154,49,44
0,1,3,1,156,49,48
0,6,2,0,152,51,44
0,2,4,1,154,48,47
0,6,3,0,151,50,44
0,2,6,2,152,45,46
0,5,4,1,151,48,44
1,3,3,1,153,48,45
0,1,1,1,158,51,48
0,3,2,0,155,51,47
0,0,4,1,156,48,49
0,3,1,1,156,51,46
0,4,5,0,151,48,46
0,5,2,1,153,50,44
0,3,5,0,152,48,47
0,6,2,2,152,49,42
1,4,5,1,150,46,44
0,2,5,0,153,48,48
1,5,1,2,153,49,42
0,2,1,1,157,51,47
0,3,3,1,154,49,46
0,4,7,1,149,45,45
0,3,3,0,154,50,47
0,5,3,0,152,50,45
0,4,4,1,152,48,45
0,5,3,1,152,49,44
0,2,4,0,154,49,48
0,3,3,1,154,49,46
0,5,4,0,151,49,45
0,4,2,0,154,51,46
0,2,2,0,156,51,48
1,2,2,1,155,49,46
0,5,3,1,152,49,44
0,2,3,1,155,49,47
0,4,4,2,152,47,44
0,5,1,3,154,49,42
0,5,3,1,152,49,44
0,1,3,5,156,45,44
0,2,4,1,154,48,47
0,8,6,0,146,47,42
0,2,3,0,155,50,48
1,5,5,0,149,47,44
0,2,2,0,156,51,48
0,1,1,0,158,52,49
0,3,2,1,155,50,46
0,4,7,2,149,44,44
0,2,1,1,157,51,47
0,2,1,1,157,51,47
0,2,6,2,152,45,46
0,2,3,0,155,50,48
0,1,0,0,159,53,49
1,1,3,1,155,48,47
0,0,4,0,156,49,50
0,4,2,3,154,48,43
0,5,5,0,150,48,45
0,7,2,0,151,51,43
0,3,1,1,156,51,46
1,3,4,1,152,47,45
0,3,2,0,155,51,47
0,1,3,0,156,50,49
0,4,3,2,153,48,44
0,5,4,0,151,49,45
0,3,2,2,155,49,45
1,3,4,1,152,47,45
0,7,3,0,150,50,43
0,2,5,0,153,48,48
0,4,4,0,152,49,46
0,2,4,0,154,49,48
0,3,0,1,157,52,46
0,5,5,0,150,48,45
1,2,5,1,152,46,46
0,3,3,1,154,49,46
0,4,5,0,151,48,46
0,2,4,0,154,49,48
0,4,7,1,149,45,45
0,6,1,3,153,49,41
0,5,3,0,152,50,45
0,1,3,1,156,49,48
0,2,2,0,156,51,48
0,2,5,2,153,46,46
0,3,3,0,154,50,47
0,5,2,1,153,50,44
0,3,3,2,154,48,45
0,5,1,0,154,52,45
0,4,2,0,154,51,46
0,5,5,0,150,48,45
0,4,5,1,151,47,45
0,3,5,1,152,47,46
0,3,4,2,153,47,45
0,1,3,0,156,50,49
1,5,2,1,152,49,43
0,5,0,3,155,50,42
0,1,7,1,152,45,48
0,2,6,1,152,46,47
0,4,3,0,153,50,46
0,2,1,1,157,51,47
0,3,3,2,154,48,45
0,1,3,0,156,50,49
0,4,3,1,153,49,45
0,4,3,0,153,50,46
0,2,2,3,156,48,45
0,6,1,1,153,51,43
0,5,8,0,147,45,45
