query,NOGs,COG_category,HMM_description
WP_008526012.1,0ZHP4@NOG,K,Inherit from arCOG: Phage PhiH1 repressor protein
WP_010901954.1,0YM3N@NOG,NA,NA
WP_010901955.1,COG3359@NOG,L,Inherit from COG: Exonuclease-like protein
WP_010901967.1,10ZN6@NOG,NA,NA
WP_010901973.1,COG1598@NOG,S,Inherit from COG: family UPF0150
WP_010901974.1,0XUD5@NOG,S,YcfA family
WP_010901975.1,0Z4Q9@NOG,NA,NA
WP_010901979.1,COG1943@NOG,L,transposase IS200-family protein
WP_010901984.1,COG0500@NOG,Q,Inherit from COG: Methyltransferase
WP_010901985.1,COG2244@NOG,M,Polysaccharide biosynthesis protein
WP_010901986.1,COG0438@NOG,M,glycosyl transferase group 1
WP_010901991.1,1110N@NOG,M,O-antigen polymerase
WP_010901992.1,0YCQD@NOG,NA,NA
WP_010902028.1,COG0286@NOG,V,type I restriction-modification system
WP_010902029.1,COG0732@NOG,V,Restriction modification system DNA specificity domain protein
WP_010902030.1,COG0610@NOG,V,"Type I site-specific deoxyribonuclease, HsdR family"
WP_010902031.1,COG1451@NOG,S,Protein of unknown function DUF45
WP_010902046.1,COG0501@NOG,O,Peptidase M48 Ste24p
WP_010902090.1,COG5524@NOG,S,Halorhodopsin
WP_010902091.1,COG0095@NOG,H,biotin lipoate A B protein ligase
WP_010902100.1,COG3609@NOG,K,"transcriptional regulator, copg family"
WP_010902106.1,0YSDR@NOG,NA,NA
WP_010902112.1,COG0582@NOG,L,Phage integrase family
WP_010902113.1,0YQVI@NOG,S,Pfam:TRF2
WP_010902115.1,COG3378@NOG COG4983@NOG,S,Primase C terminal 2 (PriCT-2)
WP_010902147.1,COG1695@NOG,K,regulator
WP_010902148.1,COG0221@NOG,C,pyrophosphate phosphohydrolase
WP_010902166.1,COG1943@NOG,L,Transposase
WP_010902167.1,COG0675@NOG,L,Pfam:Transposase_35
WP_010902501.1,COG1309@NOG,K,"transcriptional regulator, TetR family"
WP_010902508.1,COG1405@NOG,K,Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB) (By similarity)
WP_010902509.1,COG0784@NOG,T,response regulator receiver protein
WP_010902522.1,COG1695@NOG,K,Transcriptional regulator
WP_010902542.1,COG0615@NOG,M,Catalyzes the transfer of the AMP portion of ATP to flavin mononucleotide (FMN) to produce flavin adenine dinucleotide (FAD) coenzyme (By similarity)
WP_010902645.1,COG0642@NOG COG2202@NOG,T,His Kinase A (phospho-acceptor) domain
WP_010902647.1,COG0463@NOG,M,glycosyl transferase family 2
WP_010902689.1,COG1776@NOG,N,"CheC, inhibitor of MCP methylation"
WP_010902690.1,COG0643@NOG,N,CheA signal transduction histidine kinase
WP_010902691.1,COG2201@NOG,N,catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR (By similarity)
WP_010902692.1,COG0784@NOG,T,response regulator receiver protein
WP_010902693.1,COG0835@NOG,N,chemotaxis protein
WP_010902699.1,111T3@NOG,NA,NA
