V1,V2,V3,V4,V5
COG0640@NOG,NA,NA,NA,NA
COG1009@NOG,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
COG1522@NOG,COG0589@NOG,NA,NA,NA
COG0589@NOG,NA,NA,NA,NA
COG3351@NOG,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
COG0642@NOG,NA,NA,NA,NA
COG0589@NOG,NA,NA,NA,NA
COG0843@NOG,NA,NA,NA,NA
COG1522@NOG,COG1378@NOG,NA,NA,NA
COG1522@NOG,COG0640@NOG,NA,NA,NA
COG0589@NOG,NA,NA,NA,NA
COG1311@NOG,NA,NA,NA,NA
COG0463@NOG,NA,NA,NA,NA
COG0589@NOG,NA,NA,NA,NA
COG1522@NOG,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
COG0463@NOG,NA,NA,NA,NA
COG3413@NOG,COG0589@NOG,NA,NA,NA
COG0589@NOG,NA,NA,NA,NA
COG0477@NOG,COG0640@NOG,COG1522@NOG,NA,NA
COG0582@NOG,NA,NA,NA,NA
COG0071@NOG,COG1522@NOG,COG1063@NOG,COG3413@NOG,NA
NA,NA,NA,NA,NA
COG1131@NOG,11HND@NOG,COG0500@NOG,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
COG1028@NOG,NA,NA,NA,NA
1267B@NOG,11HND@NOG,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
COG0463@NOG,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
COG1011@NOG,NA,NA,NA,NA
NA,NA,NA,NA,NA
COG1310@NOG,COG1131@NOG,NA,NA,NA
COG0640@NOG,NA,NA,NA,NA
COG1405@NOG,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
COG0840@NOG,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
COG0640@NOG,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
